table_name,ordinal_position,column_name,data_type,udt_name,is_nullable,column_default
staged_system_components,12,created_at,timestamp with time zone,timestamptz,NO,now()
staged_system_components,13,parser_notes,jsonb,jsonb,YES,null
staged_system_components,14,extracted_at,timestamp with time zone,timestamptz,YES,null
staged_system_profiles,1,id,uuid,uuid,NO,gen_random_uuid()
staged_system_profiles,2,staged_system_id,uuid,uuid,NO,null
staged_system_profiles,3,name,text,text,YES,null
staged_system_profiles,4,product_code,text,text,YES,null
staged_system_profiles,5,dimensions,text,text,YES,null
staged_system_profiles,6,length_m,numeric,numeric,YES,null
staged_system_profiles,7,sheet_format,text,text,YES,null
staged_system_profiles,8,sort_order,integer,int4,NO,0
staged_system_profiles,9,verification_status,text,text,NO,'pending_review'::text
staged_system_profiles,10,reviewer_notes,text,text,YES,null
staged_system_profiles,11,created_at,timestamp with time zone,timestamptz,NO,now()
staged_system_profiles,12,profile_name,text,text,YES,null
staged_system_profiles,13,length_mm,numeric,numeric,YES,null
staged_system_profiles,14,width_mm,numeric,numeric,YES,null
staged_system_profiles,15,height_mm,numeric,numeric,YES,null
staged_system_profiles,16,thickness_mm,numeric,numeric,YES,null
staged_system_profiles,17,depth_mm,numeric,numeric,YES,null
staged_system_profiles,18,gauge_mm,numeric,numeric,YES,null
staged_system_profiles,19,diameter_mm,numeric,numeric,YES,null
staged_system_profiles,20,roll_m,numeric,numeric,YES,null
staged_system_profiles,21,weight_kg,numeric,numeric,YES,null
staged_system_profiles,22,pieces,numeric,numeric,YES,null
staged_system_profiles,23,volume_ml,numeric,numeric,YES,null
staged_system_profiles,24,weight_g,numeric,numeric,YES,null
staged_system_profiles,25,pack_format,text,text,YES,null
staged_system_profiles,26,supplier_pack_qty,numeric,numeric,YES,null
staged_system_profiles,27,supplier_pack_uom,text,text,YES,null
staged_system_profiles,28,supplier_pack_note,text,text,YES,null
staged_system_profiles,29,bal_rating,text,text,YES,null
staged_system_profiles,30,parser_notes,jsonb,jsonb,YES,null
staged_system_profiles,31,uom,text,text,YES,null
staged_system_profiles,32,image_url,text,text,YES,null
staged_system_profiles,33,website_url,text,text,YES,null
staged_system_profiles,34,extracted_at,timestamp with time zone,timestamptz,YES,null
staged_system_profiles,35,procurement_route,text,text,YES,null
staged_system_profiles,36,production_profile_id,uuid,uuid,YES,null
staged_systems,1,id,uuid,uuid,NO,gen_random_uuid()
staged_systems,2,manufacturer_id,uuid,uuid,NO,null
staged_systems,3,source_document_id,uuid,uuid,YES,null
staged_systems,4,source_chunk_id,uuid,uuid,YES,null
staged_systems,5,production_system_id,uuid,uuid,YES,null
staged_systems,6,name,text,text,NO,null
staged_systems,7,product_code,text,text,YES,null
staged_systems,8,slug,text,text,YES,null
staged_systems,9,category,text,text,YES,null
staged_systems,10,subcategory,text,text,YES,null
staged_systems,11,description,text,text,YES,null
staged_systems,12,dimensions,text,text,YES,null
staged_systems,13,length_m,numeric,numeric,YES,null
staged_systems,14,double_sided,boolean,bool,NO,false
staged_systems,15,hero_image_url,text,text,YES,null
staged_systems,16,website_url,text,text,YES,null
staged_systems,17,source_label,text,text,YES,null
staged_systems,18,source_url,text,text,YES,null
staged_systems,19,sheet_format,text,text,YES,null
staged_systems,20,fire_rating,text,text,YES,null
staged_systems,21,acoustic_rating,text,text,YES,null
staged_systems,22,moisture_resistant,boolean,bool,NO,false
staged_systems,23,structural_grade,text,text,YES,null
staged_systems,25,tech_data_url,text,text,YES,null
staged_systems,26,sort_order,integer,int4,NO,0
staged_systems,27,extraction_confidence,numeric,numeric,YES,null
staged_systems,28,verification_status,text,text,NO,'pending_review'::text
staged_systems,29,verified_by,uuid,uuid,YES,null
staged_systems,30,verified_at,timestamp with time zone,timestamptz,YES,null
staged_systems,31,reviewer_notes,text,text,YES,null
staged_systems,32,created_at,timestamp with time zone,timestamptz,NO,now()
staged_systems,33,updated_at,timestamp with time zone,timestamptz,NO,now()
staged_systems,34,notes,text,text,YES,null
staged_systems,35,parser_notes,jsonb,jsonb,YES,null
staged_systems,36,bal_rating,text,text,YES,null
staged_systems,37,extracted_at,timestamp with time zone,timestamptz,YES,null
staged_systems,38,australian_made,boolean,bool,YES,null
staged_systems,39,install_guide_urls,jsonb,jsonb,YES,null
staged_systems,40,design_guide_url,text,text,YES,null
staged_systems,41,last_submitted_at,timestamp with time zone,timestamptz,YES,null
staged_systems,42,last_published_at,timestamp with time zone,timestamptz,YES,null
staged_systems,43,hero_image_position_x,smallint,int2,NO,50
staged_systems,44,hero_image_position_y,smallint,int2,NO,50
staged_systems,45,hero_image_asset_id,uuid,uuid,YES,null
verification_events,1,id,uuid,uuid,NO,gen_random_uuid()
verification_events,2,entity_type,text,text,NO,null
verification_events,3,entity_id,uuid,uuid,NO,null
verification_events,4,action,text,text,NO,null
verification_events,5,field_name,text,text,YES,null
verification_events,6,old_value,text,text,YES,null
verification_events,7,new_value,text,text,YES,null
verification_events,8,reviewer_id,uuid,uuid,YES,null
verification_events,9,notes,text,text,YES,null
verification_events,10,created_at,timestamp with time zone,timestamptz,NO,now()
widget_quote_requests,1,id,uuid,uuid,NO,gen_random_uuid()
widget_quote_requests,2,manufacturer_id,uuid,uuid,NO,null
widget_quote_requests,3,widget_id,uuid,uuid,YES,null
widget_quote_requests,4,system_id,text,text,NO,null
widget_quote_requests,5,system_name,text,text,YES,null
widget_quote_requests,6,selected_items,jsonb,jsonb,NO,'[]'::jsonb
widget_quote_requests,7,name,text,text,NO,null
widget_quote_requests,8,email,text,text,NO,null
widget_quote_requests,9,phone,text,text,YES,null
widget_quote_requests,10,postcode,text,text,YES,null
widget_quote_requests,11,project_type,text,text,YES,null
widget_quote_requests,12,timeline,text,text,YES,null
widget_quote_requests,13,message,text,text,YES,null
widget_quote_requests,14,status,text,text,NO,'new'::text
widget_quote_requests,15,created_at,timestamp with time zone,timestamptz,NO,now()
workspace_invitations,1,id,uuid,uuid,NO,gen_random_uuid()
workspace_invitations,2,manufacturer_id,uuid,uuid,NO,null
workspace_invitations,3,email,text,text,NO,null
workspace_invitations,4,role,text,text,NO,'manufacturer_reviewer'::text
workspace_invitations,5,token_hash,text,text,YES,null
workspace_invitations,6,status,text,text,NO,'pending'::text
workspace_invitations,7,invited_by,uuid,uuid,YES,null
workspace_invitations,8,invited_at,timestamp with time zone,timestamptz,NO,now()
workspace_invitations,9,expires_at,timestamp with time zone,timestamptz,YES,null
workspace_invitations,10,accepted_at,timestamp with time zone,timestamptz,YES,null
